stock price ,rate of return on total assets_ROA_A,net assets income rateA,operating profit ratio,Sales Margin rate,turnover of account receivableA,rate of stock turnoverA,velocity of liquid assetsA,turnover of total capitalA, liquidity ratio,quick ratio,asset-liability ratio,equity multiplier,Total Assets Growth RateA,net profit growth rateA,increase rate of business revenue,sustainable growth rate
39.92,0.218271,0.260261,0.289309,0.314685,2.370219,2.623621,0.847074,0.693617,5.262074,4.474433,0.161338,1.192376,0.33261,6.238541,2.918286,0.300473
14.11,0.066121,0.083052,0.058768,0.169175,1.373776,1.378879,0.555281,0.390846,4.534561,3.6048,0.203861,1.256062,0.058255,0.588213,0.194238,0.079642
20.74,0.069815,0.083389,0.139455,0.122744,5.001011,1.279583,0.726597,0.568785,5.611302,5.454224,0.162776,1.194424,0.095264,-1.284459,0.091379,0.06965
22.23,0.050674,0.081313,0.071648,0.069691,2.248836,2.259681,0.848628,0.727126,2.322836,1.748535,0.376803,1.60463,0.215316,-0.55886,-0.024373,0.065606
21.69,0.026134,0.028185,0.031759,0.073144,22.886673,3.237495,0.433012,0.357296,16.541242,15.582716,0.072765,1.078475,0.005054,-0.665123,0.153369,0.002849
25.15,0.02963,0.064413,0.039843,0.037734,2.5329,3.800565,1.030652,0.785236,1.484336,1.140969,0.540005,2.173939,0.321491,1.860368,0.746982,0.058141
8.16,0.030898,0.052939,0.022647,0.217282,1.926472,3.324121,0.40989,0.142201,2.212625,2.040838,0.416348,1.713351,0.132843,-8.60148,1.316408,0.055898
14.33,0.009016,0.009607,0.014848,0.052676,2.52067,3.399068,0.220076,0.171168,13.746254,13.380255,0.061516,1.065549,-0.042294,3.207899,0.42233,0.005949
16.98,0.085043,0.135595,0.211354,0.22667,1.654985,1.357856,0.562661,0.375184,2.223532,1.688567,0.372814,1.594424,0.246499,0.695629,0.399327,0.138214
20.3,0.039083,0.046686,0.096075,0.085949,2.029982,5.37369,0.722726,0.454721,3.86883,3.481089,0.162849,1.194527,0.073814,-0.551169,0.243558,0.034591
30.49,0.045411,0.10837,0.119484,0.119802,4.097246,0.558227,0.546146,0.379049,1.482837,0.516755,0.580962,2.386421,0.481182,10.251595,2.406577,0.085936
9.32,0.039932,0.046509,0.062634,0.054891,5.737879,5.667304,1.265074,0.727468,4.315367,3.52479,0.141417,1.164709,0.141644,-0.671842,0.201252,0.048777
14.62,0.064147,0.128237,0.407459,0.360263,71.480951,289.984586,1.459625,0.178055,0.798928,0.797554,0.499781,1.999123,0.205977,-0.597242,-0.25048,0.096376
19.02,0.068553,0.095396,0.17447,0.182719,1.886566,1.044589,0.526993,0.375181,2.747376,2.046777,0.281387,1.391569,0.2839,1.971109,0.396717,0.08046
15.63,0.058003,0.080614,0.130672,0.110495,2.953087,2.400613,0.686432,0.524935,2.833403,2.227568,0.28049,1.389835,0.135158,0.546618,0.353803,0.0576
10.46,0.050633,0.087671,0.054549,0.066791,15.173339,4.686237,1.653262,0.758075,1.249754,0.904081,0.422468,1.731506,0.095408,-0.363408,0.028286,0.074026
20.48,0.016438,0.022929,0.039207,0.042504,5.919459,0.729911,0.52213,0.386744,5.317895,3.112597,0.283091,1.394876,0.06325,-2.178049,0.407233,0.018498
7.4,0.011491,0.017696,0.010087,0.012434,3.169323,4.120947,1.243784,0.924203,2.136485,1.578338,0.350615,1.539917,0.151323,-0.879424,0.121939,0.007464
21.2,0.016497,0.020468,0.019442,0.039151,2.151619,3.960077,0.539587,0.421367,4.412695,3.976899,0.194031,1.240742,0.049723,10.644816,0.73199,0.01214
26.18,0.02318,0.023439,0.121616,0.266581,7.012426,0.884373,0.100443,0.086951,144.000052,135.603036,0.011054,1.011177,-0.018668,-0.477605,-0.445175,0.013989
15.43,0.076682,0.099846,0.130818,0.118646,3.756269,5.125984,1.071966,0.646311,2.853101,2.430289,0.231992,1.30207,0.198993,-0.039105,0.199387,0.050145
41.25,0.028979,0.054753,0.013488,0.01532,739.144694,17.727934,2.914663,1.891654,1.594719,1.358936,0.47072,1.889358,0.278435,-0.179298,1.148695,0.042693
14.86,0.043042,0.058475,0.126667,0.121628,2.200977,2.734036,0.791311,0.353883,1.929649,1.666092,0.263922,1.358551,0.181719,-0.382736,0.115769,0.041581
52.44,0.076404,0.224444,0.126375,0.11332,3.172525,1.363434,0.866454,0.674229,1.21533,0.72531,0.659586,2.937596,0.443351,0.055121,0.373296,0.257647
8.66,0.081329,0.098498,0.173897,0.155243,3.796486,1.81055,0.762901,0.523882,4.876758,3.710432,0.174314,1.211115,0.124311,-0.13256,-0.067944,0.074964
18.27,0.106031,0.133104,0.143265,0.123675,2.72103,30.642177,1.04082,0.857336,4.049714,3.95687,0.2034,1.255335,0.085578,0.542236,1.216256,0.110213
18.99,0.039255,0.065914,0.046915,0.050636,4.180968,1.864201,1.191034,0.775227,1.668217,0.873244,0.404454,1.679132,0.070169,-0.443432,0.023572,0.059183
20.7,0.040993,0.063225,0.091976,0.071086,3.283355,5.830314,1.124169,0.576667,1.570332,1.361534,0.351636,1.542343,0.072103,0.88185,0.265131,0.041167
28.68,0.078961,0.115143,0.187326,0.162981,1.97441,0.963887,0.649245,0.484481,2.513029,1.568445,0.314234,1.458222,0.483883,0.275209,0.338355,0.115432
23.87,0.069663,0.073078,0.23334,0.310458,3.994121,3.020355,0.320559,0.224389,21.260634,20.628147,0.046732,1.049023,0.0882,-1.019365,-0.608544,0.059913
26.89,0.046391,0.05552,0.14286,0.211492,1.036782,2.366306,0.383831,0.219352,3.993292,3.652415,0.164421,1.196775,1.198415,3.592246,2.111327,0.030682
40.67,0.070869,0.081448,0.227909,0.240792,5.810612,0.764099,0.575769,0.294317,10.497355,9.700994,0.129884,1.149272,0.056328,0.696773,0.236773,0.060072
9.66,0.082062,0.121323,0.113124,0.111596,7.807505,2.542832,1.310479,0.73535,6.950143,4.264347,0.323611,1.478439,0.070835,-0.002976,0.039009,0.082671
10.75,0.044328,0.056967,0.034736,0.027943,6.911287,57.374539,2.425428,1.586402,3.004505,2.89876,0.221861,1.285117,0.052992,-0.180532,0.339797,0.044425
11.14,0.062013,0.093611,0.080636,0.082999,3.749908,6.662365,1.277157,0.747157,1.844948,1.564423,0.337546,1.509539,0.284577,-0.418101,-0.129934,0.103279
19.77,-0.095561,-0.118385,-0.218583,-0.208242,3.653625,2.255263,0.620723,0.458895,3.835086,2.903908,0.192794,1.238841,-0.058278,0.247496,0.32194,-0.105854
15.16,0.038103,0.071723,0.046865,0.037179,5.079911,5.242062,1.582905,1.024855,1.466438,1.116734,0.468748,1.882346,0.143468,-0.506968,0.055867,0.077264
68.61,0.110949,0.152648,0.10658,0.088662,3.838453,8.976579,1.608487,1.251365,2.91951,2.590498,0.273174,1.375845,0.149187,0.362692,0.006027,0.126255
25.17,0.089745,0.103603,0.197821,0.182965,2.840651,8.861212,0.605002,0.490501,6.061036,5.834572,0.133763,1.154419,0.09549,0.591999,0.348047,0.087782
20.93,0.064773,0.077573,0.132353,0.130111,5.368346,2.594351,0.677431,0.497824,5.196355,4.485369,0.16501,1.19762,0.088154,-0.655794,0.048985,0.062731
18.66,0.041955,0.047831,0.031342,0.110605,1.882179,1.510811,0.442378,0.379318,8.167188,6.985516,0.122863,1.140073,0.06312,0.922594,0.153165,0.031343
10.79,0.026171,0.035513,0.045869,0.047296,1.226848,2.801101,0.682431,0.553355,3.082508,2.574483,0.263052,1.356947,0.210076,1.819648,0.577134,0.036821
20.69,0.072761,0.080637,0.146825,0.157905,1.989313,3.667506,0.572592,0.460788,8.238573,7.446682,0.09768,1.108254,-0.038067,0.147563,0.160652,0.053093
22.45,0.010588,0.022303,0.01261,0.021299,1.396992,3.836191,0.665041,0.497124,1.429861,1.236595,0.525259,2.106411,0.196122,-1.929065,0.571198,0.011527
18.21,0.032168,0.045721,0.080313,0.068305,7.24674,2.793092,1.698178,0.47095,1.568214,1.237495,0.296424,1.421311,0.318212,0.351868,0.652035,0.029103
25.66,0.070029,0.089627,0.187716,0.163536,5.426894,0.828983,0.617865,0.428215,3.412649,2.292962,0.21867,1.279869,0.159929,1.959422,-0.144434,0.098451
15.15,-0.069002,-0.111545,-0.380474,-0.358484,1.580468,2.312802,0.530048,0.192484,0.969386,0.733946,0.381393,1.616535,1.097627,3.985825,-0.079677,-0.100351
31.48,0.092144,0.110413,0.226174,0.182892,6.091094,2.414376,0.728812,0.503816,4.210825,3.310088,0.165461,1.198266,0.143834,0.194212,0.106008,0.068272
12.12,0.091057,0.11309,0.251305,0.229456,4.446968,2.83359,1.264708,0.396838,1.916396,1.406736,0.194828,1.24197,0.12757,0.034862,0.152385,0.096568
13.8,0.12408,0.14533,0.265652,0.319586,4.038615,3.278339,0.508196,0.388252,6.340738,5.805355,0.146221,1.171264,0.132063,0.475888,0.13191,0.133262
13.83,0.013209,0.018338,0.027671,0.026819,3.000495,1.402757,0.77004,0.492523,2.286881,1.31363,0.279686,1.388283,0.132125,-1.117105,-0.248096,0.01628
11.21,0.049557,0.069125,0.111371,0.106924,2.87984,2.570892,0.837616,0.463483,1.958143,1.496982,0.283071,1.394838,0.338065,1.35596,0.172274,0.053586
13.14,0.056348,0.12025,0.181787,0.141783,3.371546,43.722035,0.752121,0.397424,1.180336,1.166442,0.531411,2.134069,0.572538,-0.541596,-0.143006,0.120706
13.38,0.055343,0.079376,0.170787,0.155862,1.144103,1.626881,0.52018,0.355076,2.286327,1.779697,0.302773,1.434254,0.704912,0.426369,0.455737,0.061628
9.91,0.025992,0.027058,0.024668,0.11491,1.249963,2.940999,0.255348,0.226196,24.06742,22.872568,0.0394,1.041016,0.009211,3.679641,1.50403,0.002266
17.57,0.037011,0.055478,0.038613,0.05514,1.996094,3.993178,0.975644,0.671211,2.149499,1.763975,0.332871,1.49896,0.002977,-0.50341,0.187762,0.039272
28.44,0.030013,0.039576,0.068311,0.067067,3.284613,2.854348,0.877733,0.447512,2.857794,2.20828,0.241624,1.318607,-0.00519,-0.19514,0.286883,0.029766
30.17,0.133858,0.145198,0.221856,0.191617,8.204982,5.17813,1.166755,0.698574,9.231656,7.899675,0.078098,1.084714,0.169207,0.479058,0.496578,0.145826
27.93,0.015432,0.02487,0.023399,0.024184,2.375751,2.842801,0.85122,0.638129,1.992989,1.541942,0.379474,1.611536,0.000148,-1.403203,-0.081908,0.019023
15.19,0.029825,0.031718,0.061275,0.127035,0.965335,1.772123,0.303809,0.234779,13.035216,12.325674,0.059685,1.063473,-0.010978,-2.908199,-0.291828,0.027427
32.33,0.095565,0.123596,0.124639,0.182306,2.340944,1.82012,0.655857,0.5242,3.695129,2.97087,0.2268,1.293326,0.158472,0.655774,0.818043,0.112405
12.33,0.104019,0.113524,0.211371,0.187259,6.115409,3.316631,1.188925,0.55548,7.064705,5.594139,0.083728,1.091379,-0.085124,0.2814,0.132449,0.061835
25.44,0.046345,0.088385,0.082918,0.085376,1.855881,2.064648,0.602623,0.542833,1.968343,1.53223,0.475646,1.907109,0.418303,0.159936,0.615399,0.074359
16.15,0.137577,0.150112,0.292758,0.334145,1.21547,2.911566,0.491436,0.411727,10.351514,9.602784,0.083508,1.091117,0.196878,0.376688,-0.044694,0.143088
16.25,0.032539,0.04428,0.092022,0.085272,1.656868,1.23797,0.438254,0.381596,3.561742,2.615744,0.265145,1.360813,0.062741,-0.251254,0.131757,0.041409
11.86,0.006945,0.009412,0.008579,0.012817,2.032313,5.733144,0.667701,0.5419,3.152486,2.896719,0.262064,1.355132,-0.081489,-1.959525,0.733676,0.001577
9.79,0.02031,0.031409,0.082055,0.081075,1.118552,0.724886,0.351359,0.250504,2.193673,1.460728,0.353386,1.546517,0.136236,-0.959911,0.433059,0.029062
11.4,0.002283,0.00269,-0.020434,0.005537,9.153931,1.580654,0.737045,0.412258,3.693375,2.266421,0.151444,1.178472,-0.002965,-1.91345,-0.097845,0.000645
12.03,0.060951,0.088573,0.184318,0.20358,2.226494,1.315917,0.590651,0.299398,1.938182,1.387556,0.311849,1.45317,0.338873,-0.155569,0.558248,0.086024
14.84,0.005929,0.007586,0.00338,0.006145,7.539488,2.473455,1.337036,0.964816,3.353514,1.776322,0.218475,1.27955,-0.116357,5.153433,0.091372,0.005906
12.58,0.061548,0.117407,0.140996,0.118018,1.079889,45.774665,0.63297,0.521515,1.800072,1.782398,0.475774,1.907574,0.081843,0.105572,1.107471,0.096574
24.91,0.107692,0.120456,0.28846,0.294988,3.977613,1.939148,0.663536,0.365072,6.097403,4.948736,0.105962,1.118521,0.194311,0.390616,0.191796,0.100898
22.88,0.125105,0.138791,0.276783,0.301458,15.503771,2.267721,0.513167,0.415001,8.201365,7.519764,0.098606,1.109393,0.223958,-0.100638,0.011161,0.082825
45.87,0.06966,0.119131,0.140147,0.122546,1.218008,3.730942,0.616024,0.56844,2.239991,1.998446,0.415265,1.710176,0.282788,0.771525,0.629714,0.105361
25.07,0.088483,0.129326,0.364536,0.320321,2.574697,2.734412,0.639962,0.276234,3.209969,2.933176,0.315808,1.461579,0.100686,-0.556747,-0.282174,0.116146
13.05,0.094925,0.135869,0.143384,0.142953,1.484345,7.399019,0.788918,0.66403,2.800351,2.603559,0.301351,1.431335,0.115055,7.756416,1.2646,0.1215
31.6,0.108817,0.119058,0.396631,0.329905,1.271255,0.700363,0.338502,0.329842,11.93368,8.850124,0.086017,1.094112,0.051056,-0.081093,0.548757,0.108189
13.68,0.027966,0.040838,0.048516,0.059476,2.414288,2.239314,0.820961,0.470206,2.211037,1.561222,0.315203,1.460288,0.528056,-0.408129,0.228704,0.016103
17.2,0.059629,0.144542,0.141993,0.122206,4.255832,10.184953,0.758449,0.487941,1.106325,1.045597,0.587461,2.424012,0.602972,2.940931,1.597775,0.134886
43.01,0.081995,0.097282,0.38255,0.335787,7.909949,0.915791,0.397023,0.244187,4.11122,3.338966,0.157143,1.18644,0.292079,0.34615,0.087005,0.055427
15.49,0.064635,0.109001,0.091749,0.103101,2.001171,1.782713,0.759679,0.626914,2.121468,1.539019,0.407021,1.686401,0.300506,1.846315,1.024514,0.085105
16.83,0.029369,0.046686,0.028954,0.080871,1.929277,12.583477,0.596895,0.363153,2.153441,2.088939,0.370925,1.589636,0.154755,46.960372,1.005613,0.04427
41.86,0.030239,0.034372,0.099966,0.076541,17.606899,2.758979,0.502876,0.428192,14.889357,13.999062,0.074,1.079913,0.108264,-0.117991,-0.181089,0.113285
23.64,0.059987,0.090067,0.12516,0.119707,2.360341,1.579333,0.587519,0.501115,2.553926,1.854559,0.33397,1.501434,0.198118,-0.474515,-0.001414,0.088326
29.51,0.036011,0.040693,0.087309,0.088727,1.885144,5.941473,0.490718,0.405866,8.524543,8.059822,0.115053,1.130012,0.012877,22.263805,0.624929,0.035702
19.97,0.103722,0.141885,0.190824,0.173293,2.461199,7.800223,0.815808,0.598531,2.95242,2.735028,0.268973,1.367939,0.259298,-0.092432,0.059869,0.104489
26.93,0.08508,0.099086,0.240201,0.219848,3.594892,2.829786,0.501412,0.386995,6.503175,5.742714,0.141352,1.164622,0.160044,0.345035,0.263334,0.084975
16,0.046421,0.048889,0.11159,0.102617,9.214473,9.917926,0.721026,0.45237,25.659857,24.095085,0.050482,1.053166,0.033579,0.085769,0.052497,0.038519
23.48,0.086587,0.092214,0.43695,0.457119,73.908551,2.008196,0.22157,0.18942,14.102642,13.602129,0.061019,1.064985,0.113237,0.420872,0.224244,0.069706
9.83,0.057713,0.066738,0.192149,0.139425,10.535816,1.612754,0.493431,0.413934,8.110788,6.638878,0.135233,1.15638,0.06608,-1.545187,-0.660115,0.049919
14.15,0.019244,0.026903,0.020513,0.157313,2.80052,0.643756,0.245516,0.122332,5.13751,3.971914,0.284681,1.397977,0.358349,-5.924715,0.263819,0.022407
17.48,0.055064,0.062786,0.4081,0.337327,0.559529,1.27162,0.213995,0.163236,7.25707,6.724383,0.122989,1.140236,0.108479,8.03868,2.669038,0.049484
17.87,-0.045695,-0.074849,-0.236388,-0.204272,0.6237,0.601303,0.234495,0.223697,2.780682,2.184347,0.3895,1.638,0.026908,4.389876,-0.601982,-0.069636
16.5,0.019005,0.025258,0.106465,0.122869,3.834682,0.714672,0.208055,0.154679,3.003239,2.518285,0.247551,1.328993,0.256839,-0.475826,0.389125,0.014151
18.35,0.094986,0.101999,0.341039,0.294928,21.710471,1.982342,0.417475,0.322065,11.220274,10.147842,0.068756,1.073832,0.039051,0.725413,0.725986,0.088876
24.87,0.023636,0.025318,0.221627,0.245507,0.894677,0.419807,0.1074,0.096273,13.487775,11.754458,0.06646,1.071191,-0.016928,-0.140448,-0.277213,0.009696
17.9,0.0702,0.075181,0.541466,0.494229,3.774841,2.036883,0.207934,0.14204,12.182467,11.901779,0.066243,1.070942,0.072964,-0.465627,-0.326753,0.062537
24.97,0.06721,0.081803,0.155254,0.157424,2.686568,1.979056,0.682964,0.426936,4.25462,3.223886,0.178394,1.217129,0.156756,-0.623861,0.109376,0.068701
12.13,0.084654,0.103695,0.130083,0.1063,2.112795,4.465014,1.203324,0.796369,3.808066,3.060463,0.183623,1.224924,-0.07266,0.388995,0.093254,0.08627
26.66,0.037873,0.053279,0.070772,0.062671,9.14859,3.825493,1.44672,0.604322,1.818783,1.251544,0.289153,1.406772,0.035898,-0.410839,0.324998,0.045683
13.84,0.04476,0.065648,0.086319,0.074847,4.77332,5.268816,1.084365,0.598022,1.777548,1.496016,0.318179,1.466661,0.316556,0.657247,0.350543,0.048377
23.68,0.03562,0.042471,0.078172,0.09381,3.331806,3.296666,0.483007,0.379705,4.8848,4.454581,0.161314,1.192341,0.007188,47.195372,0.354753,0.033111
11.06,0.044212,0.086892,0.067209,0.057006,3.04828,8.020821,1.001943,0.775566,1.575904,1.407006,0.491186,1.965354,0.181488,-0.296907,0.475966,0.082306
60.26,0.104832,0.125843,0.507791,0.505597,3.52393,2.00834,0.339223,0.207343,13.176178,12.608714,0.166959,1.200421,0.299232,1.80822,0.887305,0.094777
14.94,0.041592,0.04587,0.070875,0.078179,6.508616,2.935724,0.589798,0.53201,9.744348,8.515438,0.093252,1.102842,0.02412,-0.648708,-0.105963,-0.00305
18.15,0.06763,0.085657,0.111224,0.107163,3.880372,5.696938,1.2162,0.631098,3.287397,2.78077,0.21045,1.266544,0.004892,-0.527739,-0.326631,0.071066
9.38,0.048742,0.062135,0.089478,0.09679,4.277463,1.660471,0.76312,0.503585,3.071109,2.084838,0.215544,1.274769,0.040434,0.043447,-0.002363,0.053695
19.06,0.037736,0.054717,0.069065,0.105867,1.275495,2.932411,0.428109,0.356448,2.796296,2.486579,0.310339,1.449987,0.033659,0.982608,0.726327,0.013633